year,ISO_code,countries,region,pf_rol_procedural,pf_rol_civil,pf_rol_criminal,pf_rol,pf_ss_homicide,pf_ss_disappearances_disap,pf_ss_disappearances_violent,pf_ss_disappearances_organized,pf_ss_disappearances_fatalities,pf_ss_disappearances_injuries,pf_ss_disappearances,pf_ss_women_fgm,pf_ss_women_missing,pf_ss_women_inheritance_widows,pf_ss_women_inheritance_daughters,pf_ss_women_inheritance,pf_ss_women,pf_ss,pf_movement_domestic,pf_movement_foreign,pf_movement_women,pf_movement,pf_religion_estop_establish,pf_religion_estop_operate,pf_religion_estop,pf_religion_harassment,pf_religion_restrictions,pf_religion,pf_association_association,pf_association_assembly,pf_association_political_establish,pf_association_political_operate,pf_association_political,pf_association_prof_establish,pf_association_prof_operate,pf_association_prof,pf_association_sport_establish,pf_association_sport_operate,pf_association_sport,pf_association,pf_expression_killed,pf_expression_jailed,pf_expression_influence,pf_expression_control,pf_expression_cable,pf_expression_newspapers,pf_expression_internet,pf_expression,pf_identity_legal,pf_identity_parental_marriage,pf_identity_parental_divorce,pf_identity_parental,pf_identity_sex_male,pf_identity_sex_female,pf_identity_sex,pf_identity_divorce,pf_identity,pf_score,pf_rank,ef_government_consumption,ef_government_transfers,ef_government_enterprises,ef_government_tax_income,ef_government_tax_payroll,ef_government_tax,ef_government,ef_legal_judicial,ef_legal_courts,ef_legal_protection,ef_legal_military,ef_legal_integrity,ef_legal_enforcement,ef_legal_restrictions,ef_legal_police,ef_legal_crime,ef_legal_gender,ef_legal,ef_money_growth,ef_money_sd,ef_money_inflation,ef_money_currency,ef_money,ef_trade_tariffs_revenue,ef_trade_tariffs_mean,ef_trade_tariffs_sd,ef_trade_tariffs,ef_trade_regulatory_nontariff,ef_trade_regulatory_compliance,ef_trade_regulatory,ef_trade_black,ef_trade_movement_foreign,ef_trade_movement_capital,ef_trade_movement_visit,ef_trade_movement,ef_trade,ef_regulation_credit_ownership,ef_regulation_credit_private,ef_regulation_credit_interest,ef_regulation_credit,ef_regulation_labor_minwage,ef_regulation_labor_firing,ef_regulation_labor_bargain,ef_regulation_labor_hours,ef_regulation_labor_dismissal,ef_regulation_labor_conscription,ef_regulation_labor,ef_regulation_business_adm,ef_regulation_business_bureaucracy,ef_regulation_business_start,ef_regulation_business_bribes,ef_regulation_business_licensing,ef_regulation_business_compliance,ef_regulation_business,ef_regulation,ef_score,ef_rank,hf_score,hf_rank,hf_quartile
2016,ALB,Albania,Eastern Europe,6.661502941,4.547243777,4.666508223,5.291751647,8.920429431,10,10,10,10,10,10,10,7.5,5,5,5,7.5,8.80680981,5,10,5,6.666666667,,,10,9.566666667,8.011111111,9.192592593,10,10,,,10,,,10,,,10,10,10,10,5,5.25,10,10,10,8.607142857,0,10,10,10,10,10,10,5,6.25,7.596280576,57,8.232352941,7.509902296,8,9,7,8,7.935563809,2.668221792,3.145461678,4.512227773,8.333333333,4.166666667,4.387444055,6.48528661,6.933499972,6.215400695,0.948717949,5.071813726,8.986454287,9.484575272,9.7436,10,9.55365739,9.626666667,9.24,8.024,8.963555556,5.574481487,9.405327776,7.489904631,10,6.306105852,4.615384615,8.296923099,6.406137855,8.21489951,5,7.295686921,9,7.098562307,5.566666667,5.396398703,6.234861215,8,6.299740913,10,6.916277916,6.072171528,6,9.713863752,4.050195972,7.324582113,7.074365792,6.705863193,6.906901139,7.54,34,7.568140288,48,2
2016,DZA,Algeria,Middle East & North Africa,,,,3.819566026,9.456253595,10,9.294029701,5,9.926119387,9.990149252,8.842059668,10,7.5,0,0,0,5.833333333,8.043882199,5,5,5,5,,,5,6.873333333,2.961111111,4.944814815,5,5,,,5,,,5,,,5,5,10,10,2.666666667,4,10,7.5,7.5,7.380952381,,0,5,2.5,0,0,0,0,0.833333333,5.281772109,147,2.15,7.817129014,0,7,2,4.5,3.616782254,4.186704158,4.327112635,4.689952135,4.166666667,5,4.507538039,6.626692153,6.136844953,6.737383207,0.820512821,4.690742835,6.955962198,8.339152127,8.72046,5,7.253893581,8.48,6.22,5.9176,6.872533333,4.962588947,0,2.481294473,5.563909774,3.664828738,0,1.106256413,1.590361717,4.127024824,0,5.301525853,10,5.100508618,5.566666667,3.896911542,5.958321095,6,7.755176154,1,5.029512576,3.722341458,1.777777778,9.243069793,3.765515288,8.523503188,7.029528486,5.676955998,5.268992397,4.99,159,5.135886055,155,4
2016,AGO,Angola,Sub-Saharan Africa,,,,3.451813885,8.060260239,5,10,7.5,10,10,8.5,10,10,5,5,5,8.333333333,8.297864524,0,5,10,5,,,10,8.904444444,7.455555556,8.786666667,2.5,2.5,,,2.5,,,5,,,7.5,4,10,10,2.666666667,2.5,7.5,5,7.5,6.452380952,10,10,10,10,0,0,0,10,7.5,6.111324364,117,7.6,8.886739306,0,10,9,9.5,6.496684826,1.843129164,1.974565724,2.512364187,3.333333333,4.166666667,2.302200397,5.455882288,3.016103987,4.291196631,0.846153846,2.963635116,9.385679482,4.986741972,3.054,5,5.606605364,8.993333333,7.72,4.2544,6.989244444,3.132738335,0.917159763,2.024949049,10,2.94691933,3.076923077,0.110625641,2.044822683,5.264754044,8,9.194715492,4,7.064905164,8.9,2.656197601,5.172987096,4,6.632764231,0,4.560324821,2.758427817,1.333333333,8.664627148,1.945540493,8.096775933,6.782923304,4.930271338,5.518500441,5.17,155,5.640662182,142,4
2016,ARG,Argentina,Latin America & the Caribbean,7.098483117,5.791960457,4.343929507,5.744791027,7.62297422,10,10,7.5,10,9.990877458,9.498175492,10,10,10,10,10,10,9.040383237,10,10,10,10,,,7.5,9.037777778,6.85,7.795925926,7.5,10,,,5,,,7.5,,,7.5,7.5,10,10,5.666666667,5.5,10,10,10,8.738095238,10,10,10,10,10,10,10,10,10,8.099695682,42,5.335294118,6.048930423,6,7,1,4,5.346056135,3.689690033,2.93056349,4.255994558,7.5,3.333333333,3.632871823,6.857195103,3.385785818,4.13383166,0.769230769,3.904030401,5.233264399,5.224079496,2,10,5.614335974,6.06,7.26,5.9448,6.4216,4.466581742,5.15562923,4.811105486,0,5.358169476,0.769230769,7.965046175,4.69748214,3.982546906,5,4.259461148,7,5.419820383,2.766666667,2.191898028,3.432613213,10,2.517253846,10,5.151405292,2.404211362,6.666666667,9.122356791,3.260043621,5.253410644,6.508294805,5.535830648,5.369018774,4.84,160,6.469847841,107,3
2016,ARM,Armenia,Caucasus & Central Asia,,,,5.003205353,8.808749692,10,10,7.5,9.316196301,9.93161963,9.349563186,10,5,10,10,10,8.333333333,8.830548737,5,5,10,6.666666667,,,5,8.577777778,5.088888889,6.222222222,7.5,7.5,,,5,,,5,,,7.5,6.5,10,10,3.333333333,4.25,7.5,7.5,7.5,7.154761905,7,10,10,10,10,10,10,5,8,6.912803602,84,7.264705882,7.748532262,8,5,5,5,7.003309536,3.867378632,4.197568695,5.664316813,5.833333333,5,5.196692523,9.80196309,5.714027882,7.007653713,1,5.809214965,9.078263925,9.263495878,9.746,10,9.521939951,8.866666667,8.76,8.016,8.547555556,5.922542413,8.466278563,7.194410488,10,5.10837853,5.384615385,10,6.830997972,8.143241004,10,7.306138091,10,9.10204603,5.566666667,5.766310692,6.823076407,10,9.251725385,0,6.234629858,4.552464088,6,9.846471587,4.575152278,9.319612283,6.491480816,6.797530175,7.378068688,7.57,29,7.241401801,57,2
2016,AUS,Australia,Oceania,8.439109887,7.525648148,7.364078306,7.77627878,9.623537569,10,10,10,10,9.991739227,9.998347845,10,10,10,10,10,10,9.873961805,10,10,10,10,,,10,8.288888889,8.938888889,9.075925926,10,10,,,10,,,10,,,10,10,10,10,8,7.75,10,10,10,9.392857143,7,10,10,10,10,10,10,10,9.25,9.184438453,11,4.511764706,6.664947872,10,5,5,5,6.544178144,8.766928513,5.610652765,7.998304367,10,9.166666667,6.025331188,8.205654997,8.707445463,6.790183385,1,7.919018594,8.564837584,9.500703526,9.74462,10,9.452540278,8.58,9.5,8.38,8.82,6.431714693,8.422491892,7.427103293,10,6.853331724,4.615384615,0.110625641,3.85978066,7.526720988,10,8.729073951,10,9.576357984,8.9,3.729871908,5.633807977,10,7.927854911,10,7.698589133,3.810870647,10,9.912605544,7.238899867,8.944387134,8.823020721,8.121630652,8.465525923,7.98,10,8.582219227,4,1
2016,AUT,Austria,Western Europe,8.969832378,7.872187541,7.673226526,8.171748815,9.73791214,10,10,10,10,10,10,10,10,10,10,10,10,9.91263738,10,10,10,10,,,10,8.131111111,5.644444444,7.925185185,10,10,,,10,,,10,,,10,10,10,10,7.333333333,8,10,10,10,9.333333333,10,10,10,10,10,10,10,10,10,9.246948401,8,3.744117647,3.10106205,10,4,3,3.5,5.086294924,7.650855382,5.482199589,8.092564742,10,10,6.220992578,8.10049394,8.501866658,7.194909255,1,7.915986905,8.033868574,9.875450532,9.822,10,9.432829777,9,8.96,6.8384,8.266133333,6.544708412,9.963313765,8.254011088,10,6.899639766,3.076923077,7.743794892,5.906785912,8.106732583,8,9.38704365,10,9.12901455,8.9,3.35208575,2.13862141,6,10,3,5.56511786,4.150648515,8.888888889,9.233098826,6.418890119,7.296116368,8.531578233,7.419870158,7.371334189,7.58,27,8.4134742,16,1
2016,AZE,Azerbaijan,Caucasus & Central Asia,,,,4.270861177,9.143499301,10,5.183346431,7.5,9.965839336,9.979503602,8.525737874,10,7.5,5,10,7.5,8.333333333,8.667523503,5,5,5,5,,,2.5,8.422222222,5.461111111,5.461111111,2.5,5,,,2.5,,,2.5,,,2.5,3,10,4.875900458,0.333333333,0.25,10,0,7.5,4.70846197,0,10,10,10,10,10,10,5,6.25,5.676553478,131,6.320588235,7.881207817,0,9,4,6.5,5.175449013,5.67688624,5.861118634,6.321835518,5,5.833333333,7.252962408,9.830311946,6.170494557,7.280192375,0.717948718,5.652732259,9.240397674,6.649350258,9.1642,5,7.513486983,9.033333333,8.2,6.688,7.973777778,5.961408615,7.636696029,6.799052322,10,6.226287286,4.615384615,1.438133337,4.093268413,7.216524628,5,8.403333828,9,7.467777943,8.333333333,6.136535803,7.235649427,6,7.755176154,1,6.076782453,6.071594557,6.444444444,9.837017568,5.353532672,6.959698778,7.814181339,7.080078226,6.874879541,6.49,106,6.083276739,130,4
2016,BHS,Bahamas,Latin America & the Caribbean,6.930834823,6.008696107,6.262839888,6.400790273,0,10,10,,10,10,10,,,,,,,5,10,10,,10,,,,9.444444444,6.433333333,7.938888889,,,,,,,,,,,,,10,10,8.333333333,7.25,,,,8.895833333,,10,10,10,10,10,10,,10,7.454537846,64,7.085294118,9.040503457,7,10,10,10,8.281449394,,6.7,,10,6.666666667,4.699256582,6.149350211,,,0.945945946,6.658107268,8.654100646,8.97551398,9.9308,0,6.890103656,4.5,3.36,1.8992,3.253066667,,8.105924622,8.105924622,10,,0.769230769,10,5.384615385,6.685901668,10,5.868199597,10,8.622733199,8.9,,,8,6.546424852,10,8.361606213,,5.555555556,9.166682937,,7.981672077,7.388226933,7.523034376,8.169124596,7.34,49,7.397268923,50,2
2016,BHR,Bahrain,Middle East & North Africa,,,,5.900338722,9.790481421,10,10,2.5,9.766109938,9.719331926,8.397088373,10,7.5,0,0,0,5.833333333,8.006967709,10,5,5,6.666666667,,,10,8.362222222,4.022222222,7.461481481,5,0,,,0,,,10,,,10,5,10,0,0.666666667,0.75,7.5,7.5,2.5,4.130952381,,0,0,0,10,10,10,0,3.333333333,6.136069994,114,3.688235294,9.581704339,10,10,10,10,8.317484908,6.822563012,6.231400967,7.435712815,5,7.5,4.785814418,8.855314534,7.764705817,7.28725036,0.536585366,5.265601627,9.961595769,8.215417837,9.4404,10,9.404353401,9.48,9.06,7.0296,8.5232,6.712476412,5.878712993,6.295594702,10,7.456231912,6.153846154,0.774379489,4.794819185,7.403403472,10,2.827501348,10,7.609167116,8.333333333,5.687467257,7.69570589,8,0,10,6.619417747,6.084863345,8,9.675830836,6.596744935,8.074670452,9.680534196,8.018773961,7.415786274,7.56,30,6.848034997,75,2
